kcet,college
99.964,"College of Medical, Pune"
99.7494261,"Pune Institute of Computer Technology, Dhankavdi, Pune"
99.409,"Walchand College of Medical, Sangli"
99.3181637,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
95.7156203,"Bharati Vidyapeeth's College of Medical,Lavale, Pune"
97.5304708,"International Institute of Information Technology , Pune."
98.9115242,"Shri Ramdeobaba College of Medical and Management, Nagpur"
98.8803835,"Government College of Medical, Aurangabad"
99.6194318,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Medical, Vile Parle,Mumbai"
98.5946,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Medical, Pune"
98.4034964,"Government College of Medical, Amravati"
98.5762187,"MKSSS's Cummins College of Medical for Women, Karvenagar,Pune"
98.609894,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
94.4949777,"Bharati Vidyapeeth College of Medical, Navi Mumbai"
98.430654,"K J Somaiya Institute of Medical and Information Technology, Sion, Mumbai"
98.121781,"MIT Academy of Medical,Alandi, Pune"
97.0463417,"Laxminarayan Institute of Technology, Nagpur"
98.5052468,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai"
96.9641,"Government College of Medical & Research, Avasari Khurd"
97.3110376,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Medical And Research, Ravet"
97.699572,"Shri Guru Gobind Singhji Institute of Medical and Technology, Nanded"
98.6928152,"Thadomal Shahani Medical College, Bandra, Mumbai"
97.7636639,"Vidyalankar Institute of Technology,Wadala, Mumbai"
96.5719893,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Medical Akurdi, Pune"
98.0884685,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"
96.7744038,"All India Shri Shivaji Memorial Society's College of Medical, Pune"
96.121,"Sinhgad College of Medical, Vadgaon (BK), Pune"
98.179718,"Fr. Conceicao Rodrigues College of Medical, Bandra,Mumbai"
96.40904,"Progressive Education Society's Modern College of Medical, Pune"
87.6545266,"Government College of Medical, Chandrapur"
97.124193,"Ramrao Adik Edu Soc, Ramarao Adik Institute of Tech., Navi Mumbai"
96.0234,"Government College of Medical, Jalgaon"
95.9585,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Medical, Tathawade, Pune"
95.474461,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
93.285198,"Shri Sant Gajanan Maharaj College of Medical,Shegaon"
94.5489307,"Dr. D.Y.Patil Institute of Medical, Management & Reseach, Akurdi, Pune"
96.717916,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai"
96.3482,"K. K. Wagh Institute of Medical Education and Research, Nashik"
94.3439815,"Modern Education Society's College of Medical, Pune"
91.1046255,"University Department of Chemical Technology, Aurangabad"
44.5138,"Rajiv Gandhi College of Medical, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
92.8090351,"Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Medical & Technology, Pimpri,Pune"
92.1615985,"Government Medical College, Yavatmal"
94.5540001,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
92.7659451,"Bharati Vidyapeeth's College of Medical for Women, Katraj, Dhankawadi, Pune"
94.40264,"Yeshwantrao Chavan College of Medical,Wanadongri, Nagpur"
91.023,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Medical,Vadgaon,Pune"
95.7779017,"Xavier Institute Of Medical C/O Xavier Technical Institute,Mahim,Mumbai"
94.3037,"Marathwada Mitra Mandal's College of Medical, Karvenagar, Pune"
93.9355315,"Walchand Institute of Technology, Solapur"
89.999,"JSPM'S Jaywantrao Sawant College of Medical,Pune"
92.8452453,"Kolhapur Institute of Technology's College of Medical(Autonomous), Kolhapur"
85.324,"G.H.Raisoni Academy of Medical & Technology, Nagpur"
96.431132,"St. Francis Institute of Technology,Borivali, Mumbai"
83.7007452,"D. Y. Patil College of Medical, Ambi, Talegaon, Maval"
88.7502,"JSPM's Imperial College of Medical and Research, Wagholi, Pune"
85.4554869,"JSPM Narhe Technical Campus, Pune."
91.718,"Sanjivani Rural Education Society's Sanjivani College of Medical, Kopargaon"
91.994,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Medical, Nashik"
87.4303861,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Medical & Technology, Baramati Dist.Pune"
87.2761,"TSSMS's Pd. Vasantdada Patil Institute of Technology, Bavdhan, Pune"
77.0543,"Guru Gobind Singh College of Medical & Research Centre, Nashik."
90.9825974,"Dattajirao Kadam Technical Education Society's Textile & Medical Institute, Ichalkaranji."
89.7930955,"Nutan Maharashtra Vidya Prasarak Mandal, Nutan Maharashtra Institute of Medical &Technology, Talegaon station, Pune"
85.42,"Sinhgad Technical Education Society, Sinhgad Institute of Technology and Science, Narhe (Ambegaon)"
90.110296,"Ankush Shikshan Sanstha's G.H.Raisoni College of Medical, Nagpur"
93.7827249,"Rizvi Education Society's Rizvi College of Medical, Bandra,Mumbai"
81.9898177,"Dhole Patil Education Society, Dhole Patil College of Medical, Wagholi, Tal. Haveli"
72.341,"Sinhagad Institute of Technology, Lonavala"
86.4527132,"Pune District Education Association's College of Medical, Pune"
90.08132,"Indira College of Medical & Management, Pune"
37.598,"Krushi Jivan Vikas Pratishthan, Ballarpur Institute of Technology, Mouza Bamni"
93.1729,"Amrutvahini Sheti & Shikshan Vikas Sanstha's Amrutvahini College of Medical, Sangamner"
88.3530196,"Prof. Ram Meghe Institute of Technology & Research, Amravati"
78.6135875,"Zeal Education Society's Zeal College of Medical & Reserch, Narhe, Pune"
80.2086426,"Shivnagar Vidya Prasarak Mandal's College of Medical, Malegaon-Baramati"
68.463,"Department of Technology, Shivaji University, Kolhapur"
78.2073101,"TSSM's Bhivarabai Sawant College of Medical and Research, Narhe, Pune"
90.3232114,"M.G.M.'s Jawaharlal Nehru Medical College, Aurangabad"
87.3507,"G.H.Raisoni College of Medical & Management, Wagholi, Pune"
95.6460969,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai"
85.8349688,"Dr. D. Y. Patil School OF Medical, Lohegaon, Pune"
79.3975363,"Marathwada Mitra Mandal's Institute of Technology, Lohgaon, Pune"
81.6371,"G. H.Raisoni Institute of Medical and Technology, Wagholi, Pune"
51.8459912,"Nutan College of Medical and Research, Talegaon Dabhade Tal. Maval, Pune"
70.4630548,"D. Y. Patil Institute of Medical and Technology, Ambi"
76.0756212,"NBN Sinhgad Technical Institutes Campus, Pune"
75.787,"Sandip Foundation's, Sandip Institute of Medical & Management, Nashik"
82.3019,"Sandip Foundation, Sandip Institute of Technology and Research Centre, Mahiravani, Nashik"
81.867,"Sinhgad Academy of Medical, Kondhwa (BK) Kondhwa-Saswad Road, Pune"
85.301956,"Annasaheb Dange College of Medical and Technology, Ashta, Sangli"
88.4344923,"Smt. Indira Gandhi College of Medical, Navi Mumbai"
86.7069082,"Jawahar Education Society's Annasaheb Chudaman Patil College of Medical,Kharghar, Navi Mumbai"
85.912,"ST. Vincent Pallotti College of Medical & Technology, Nagpur"
82.1625399,"Bharati Vidyapeeth's College of Medical, Kolhapur"
60.8449266,"M.S. Bidve Medical College, Latur"
94.7622082,"Atharva College of Medical,Malad(West),Mumbai"
62.7314731,"Guru Nanak Institute of Medical & Technology,Kalmeshwar, Nagpur"
89.20721,"Pravara Rural College of Medical, Loni, Pravaranagar, Ahmednagar."
67.9196,"Genba Sopanrao Moze Trust Parvatibai Genba Moze College of Medical,Wagholi, Pune"
42.5696863,"Gramin College of Medical, Vishnupuri, Nanded"
94.5768125,"N.Y.S.S.'s Datta Meghe College of Medical, Airoli, Navi Mumbai"
67.2819971,"Dr. D. Y. Patil Educational Academy's, D.Y.Patil School of Medical Academy, Ambi"
87.2417314,"M.G.M.'s College of Medical and Technology, Kamothe, Navi Mumbai"
77.109,"Pune Vidyarthi Griha's College Of Medical, Nashik"
79.468146,"Dr. D Y Patil Pratishthan's College of Medical, Kolhapur"
7.5367,"K.D.M. Education Society, Vidharbha Institute of Technology,Umred Road ,Nagpur"
84.5382849,"G. S. Mandal's Maharashtra Institute of Technology, Aurangabad"
75.4484,"Matoshri College of Medical and Research Centre, Eklahare, Nashik"
82.9312,"MET Bhujbal Knowledge City MET League's Medical College, Adgaon, Nashik."
82.9276,"Dr. Babasaheb Ambedkar College of Medical and Research, Wanadongri, Nagpur"
95.3951609,"Vidyavardhini's College of Medical and Technology, Vasai"
79.7205304,"Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology & Research, Wagholi"
84.4589848,"Deogiri Institute of Medical and Management Studies, Aurangabad"
63.4,"Cummins College of Medical For Women, Sukhali (Gupchup), Tal. Hingna Hingna Nagpur"
82.90846,"Pravara Rural Education Society's Sir Visvesvaraya Institute of Technology, Chincholi Dist. Nashik"
92.1862213,"A. P. Shah Institute of Technology, Thane"
64.7943,"K. C. E. Societys College of Medical and Information Technology, Jalgaon"
66.0870636,"Rasiklal M. Dhariwal Sinhgad Technical Institutes Campus, Warje, Pune."
30.7568636,"P.K. Technical Campus, Pune."
90.9261097,"Padmabhushan Vasantdada Patil Pratishthans College of Medical, Sion,Mumbai"
79.1799135,"CSMSS Chh. Shahu College of Medical, Aurangabad"
2.5839531,"Metropolitan Institute of Technology & Management, Sukhalwad, Sindhudurg."
84.4521049,"Rayat Shikshan Sanstha's Karmaveer Bhaurao Patil College of Medical, Satara"
92.8734891,"Terna Medical College, Nerul, Navi Mumbai"
84.5965,"Gokhale Education Society's, R.H. Sapat College of Medical, Management Studies and Research, Nashik"
92.9491683,"Mahatma Education Society's Pillai College of Medical, New Panvel"
34.1917542,"Everest Education Society, Group of Institutions (Integrated Campus), Ohar"
1.042851,"MAEER's MIT College of Railway Medical and Research, Jamgaon, Barshi"
37.1059435,"KJEI's Trinity Academy of Medical, Yewalewadi, Pune"
65.8332,"Genba Sopanrao Moze College of Medical, Baner-Balewadi, Pune"
75.8945707,"D.Y. Patil College of Medical and Technology, Kolhapur"
65.9762607,"Dattakala Group Of Institutions, Swami - Chincholi Tal. Daund Dist. Pune"
24.1984893,"SKN Sinhgad Institute of Technology & Science, Kusgaon(BK),Pune."
29.6459376,"G.M.Vedak Institute of Technology, Tala, Raigad."
73.7570881,"Jagadambha Bahuuddeshiya Gramin Vikas Sanstha's Jagdambha College of Medical and Technology, Yavatmal"
71.271,"V M Institute of Medical and Technology, Dongargaon, Nagpur"
38.7462613,"Siddhivinayak Technical Campus, School of Medical & Research Technology, Shirasgon, Nile"
81.8134745,"Sant Gajanan Maharaj College of Medical, Gadhinglaj"
55.056017,"Dr.D.Y.Patil College Of Medical & Innovation,Talegaon"
81.5056886,"Universal College of Medical & Research, Sasewadi"
82.255962,"Sipna Shikshan Prasarak Mandal College of Medical & Technology, Amravati"
68.6442212,"Late Shri. Vishnu Waman Thakur Charitable Trust, Viva Institute of Technology, Shirgaon"
57.4973023,"Vishwaniketan's Institute of Management Entrepreneurship and Medical Technology(i MEET), Khalapur Dist Raigad"
19.295641,Navsahyadri Education Society's Group of Institutions
60.6110093,"D.Y.Patil Education Society's,D.Y.Patil Technical Campus, Faculty of Medical & Faculty of Management,Talsande,Kolhapur."
70.9928,"K.V.N. Naik S. P. Sansth's Loknete Gopinathji Munde Institute of Medical Education & Research, Nashik."
40.9195,"College of Medical and Technology ,North Maharashtra Knowledge City, Jalgaon"
44.7871,"K. J.'s Educational Institut Trinity College of Medical and Research, Pisoli, Haveli"
31.21492,"Jawahar Education Society's Institute of Technology, Management & Research, Nashik."
17.0321473,"I.S.B.& M. School of Technology, Nande Village"
22.0146579,"Alard Charitable Trust's Alard College of Medical and Management, Pune"
88.7466234,"Lokmanya Tilak College of Medical, Kopar Khairane, Navi Mumbai"
53.12963,"G. H. Raisoni College of Medical and Management, Ahmednagar"
73.8179211,"Prof Ram Meghe College of Medical and Management, Badnera"
