kcet,college
99.84,"College of Medical, Pune"
99.43,"Pune Institute of Computer Technology, Dhankavdi, Pune"
99.17,"Walchand College of Medical, Sangli"
99.12,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune"
94.59,"Bharati Vidyapeeth's College of Medical,Lavale, Pune"
95.76,"International Institute of Information Technology , Pune."
98.91,"Shri Ramdeobaba College of Medical and Management, Nagpur"
98.56,"Government College of Medical, Aurangabad"
91.4,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Medical, Vile Parle,Mumbai"
92.83,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Medical, Pune"
94.64,"Government College of Medical, Amravati"
97.55,"MKSSS's Cummins College of Medical for Women, Karvenagar,Pune"
91.14,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune"
90.38,"Bharati Vidyapeeth College of Medical, Navi Mumbai"
97.66,"K J Somaiya Institute of Medical and Information Technology, Sion, Mumbai"
90.91,"MIT Academy of Medical,Alandi, Pune"
94.84,"Laxminarayan Institute of Technology, Nagpur"
94.32,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai"
92.38,"Government College of Medical & Research, Avasari Khurd"
96.4,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Medical And Research, Ravet"
94.22,"Shri Guru Gobind Singhji Institute of Medical and Technology, Nanded"
94.17,"Thadomal Shahani Medical College, Bandra, Mumbai"
96.38,"Vidyalankar Institute of Technology,Wadala, Mumbai"
84.63,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Medical Akurdi, Pune"
96.35,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai"
96.35,"All India Shri Shivaji Memorial Society's College of Medical, Pune"
90.45,"Sinhgad College of Medical, Vadgaon (BK), Pune"
96.23,"Fr. Conceicao Rodrigues College of Medical, Bandra,Mumbai"
95.36,"Progressive Education Society's Modern College of Medical, Pune"
90.58,"Government College of Medical, Chandrapur"
96.21,"Ramrao Adik Edu Soc, Ramarao Adik Institute of Tech., Navi Mumbai"
95.13,"Government College of Medical, Jalgaon"
94.96,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Medical, Tathawade, Pune"
95.43,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune"
93.03,"Shri Sant Gajanan Maharaj College of Medical,Shegaon"
92.42,"Dr. D.Y.Patil Institute of Medical, Management & Reseach, Akurdi, Pune"
95.05,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai"
82.75,"K. K. Wagh Institute of Medical Education and Research, Nashik"
92.01,"Modern Education Society's College of Medical, Pune"
89.65,"University Department of Chemical Technology, Aurangabad"
78.3,"Rajiv Gandhi College of Medical, At Post Karjule Hariya Tal.Parner, Dist.Ahmednagar"
75.92,"Dr. D. Y. Patil Vidya Pratishthan Society Dr .D. Y. Patil Institute of Medical & Technology, Pimpri,Pune"
88.33,"Government Medical College, Yavatmal"
87.34,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli"
89.72,"Bharati Vidyapeeth's College of Medical for Women, Katraj, Dhankawadi, Pune"
82.93,"Yeshwantrao Chavan College of Medical,Wanadongri, Nagpur"
88.05,"Sinhgad Technical Education Society's Smt. Kashibai Navale College of Medical,Vadgaon,Pune"
92.69,"Xavier Institute Of Medical C/O Xavier Technical Institute,Mahim,Mumbai"
90.21,"Marathwada Mitra Mandal's College of Medical, Karvenagar, Pune"
80.73,"Walchand Institute of Technology, Solapur"
85.99,"JSPM'S Jaywantrao Sawant College of Medical,Pune"
82.77,"Kolhapur Institute of Technology's College of Medical(Autonomous), Kolhapur"
85.33,"G.H.Raisoni Academy of Medical & Technology, Nagpur"
85.05,"St. Francis Institute of Technology,Borivali, Mumbai"
81.98,"D. Y. Patil College of Medical, Ambi, Talegaon, Maval"
78.51,"JSPM's Imperial College of Medical and Research, Wagholi, Pune"
80.58,"JSPM Narhe Technical Campus, Pune."
89.45,"Sanjivani Rural Education Society's Sanjivani College of Medical, Kopargaon"
82.02,"Nashik District Maratha Vidya Prasarak Samaj's Karmaveer Adv.Babaurao Ganpatrao Thakare College of Medical, Nashik"
86.57,"Vidya Pratishthan's Kamalnayan Bajaj Institute of Medical & Technology, Baramati Dist.Pune"
